Attendee,Join Time,Leave Time,Date
Jaslyn Chapman,11/9/2020 15:18,11/9/2020 18:04,11/9/2020
Jaslyn Chapman,11/9/2020 13:57,11/9/2020 15:18,11/9/2020
Dalia Gentry,11/9/2020 13:59,11/9/2020 19:03,11/9/2020
Mark Cannon,11/9/2020 15:42,11/9/2020 16:16,11/9/2020
Braelyn Terrell,11/9/2020 15:17,11/9/2020 17:19,11/9/2020
Braelyn Terrell,11/9/2020 13:58,11/9/2020 15:16,11/9/2020
Cooper Washington,--,--,11/9/2020
Kallie Weiss,11/9/2020 14:26,11/9/2020 18:09,11/9/2020
Kenley Humphrey,--,--,11/9/2020
Melvin Cochran,--,--,11/9/2020
Branson Rivas,11/9/2020 13:39,11/9/2020 19:03,11/9/2020
Dalia Cooper,11/9/2020 14:01,11/9/2020 18:07,11/9/2020
Walker Salazar,11/9/2020 13:21,11/9/2020 14:03,11/9/2020
Walker Salazar,11/9/2020 14:03,11/9/2020 19:03,11/9/2020
Walker Salazar,11/9/2020 14:03,11/9/2020 14:04,11/9/2020
Brayden Sosa,11/9/2020 13:52,11/9/2020 17:18,11/9/2020
Erin Wright,--,--,11/9/2020
Whitney Zhang,11/9/2020 14:23,11/9/2020 14:24,11/9/2020
Zion Oconnor,11/9/2020 13:39,11/9/2020 19:03,11/9/2020
Taniya Frey,11/9/2020 13:50,11/9/2020 19:03,11/9/2020
Kinley Olson,11/9/2020 14:10,11/9/2020 16:04,11/9/2020
Selah Moreno,11/9/2020 14:00,11/9/2020 17:39,11/9/2020
Guillermo Cherry,11/9/2020 14:20,11/9/2020 15:08,11/9/2020
Makenna Hernandez,11/9/2020 14:00,11/9/2020 17:55,11/9/2020
Cruz Lin,--,--,11/9/2020
Travis Adkins,--,--,11/9/2020
Gracie Ali,--,--,11/9/2020
Fisher Casey,11/9/2020 13:58,11/9/2020 18:07,11/9/2020
Jade Avila,--,--,11/9/2020
Dana Lindsey,11/9/2020 14:11,11/9/2020 14:29,11/9/2020
Adrien Garner,--,--,11/9/2020
Christopher Powell,11/9/2020 18:57,11/9/2020 18:57,11/9/2020
Keon Spencer,--,--,11/9/2020
Adrian Shah,11/9/2020 13:21,11/9/2020 14:03,11/9/2020
Adrian Shah,11/9/2020 14:03,11/9/2020 15:00,11/9/2020
Adrian Shah,11/9/2020 15:00,11/9/2020 19:03,11/9/2020
Nicolas Maddox,11/9/2020 13:48,11/9/2020 18:06,11/9/2020
Hadassah Lowery,--,--,11/9/2020
Jerimiah Miranda,--,--,11/9/2020
Jaida Vasquez,11/9/2020 13:57,11/9/2020 19:03,11/9/2020
Princess Compton,11/9/2020 14:03,11/9/2020 17:09,11/9/2020
Princess Compton,11/9/2020 13:57,11/9/2020 14:03,11/9/2020
Hailee Butler,--,--,11/9/2020
Simeon Levine,--,--,11/9/2020
Jamison Garza,--,--,11/9/2020
Janiya Rocha,11/9/2020 14:01,11/9/2020 15:00,11/9/2020
Kaiya Cordova,11/9/2020 14:01,11/9/2020 14:06,11/9/2020
Kaiya Cordova,11/9/2020 14:06,11/9/2020 14:54,11/9/2020
Kaiya Cordova,11/9/2020 17:26,11/9/2020 18:01,11/9/2020
